74335	HCO+                129.576m		# type: t, index=26, 27 Elow=965.7077   LAMDA, 
74340	HCO+                124.802m		# type: t, index=27, 28 Elow=1042.862   LAMDA, 
74345	HCO+                120.370m		# type: t, index=28, 29 Elow=1122.967   LAMDA, 
74350	HCO+                116.245m		# type: t, index=29, 30 Elow=1206.022   LAMDA, 
74355	HCO+                112.396m		# type: t, index=30, 31 Elow=1292.024   LAMDA,
70725	HCN                 3381.44m		# type: t, index=1, 4 Elow=0   LAMDA, 
70730	HCN                 3381.58m		# type: t, index=1, 2 Elow=0   LAMDA, 
70735	HCN                 3381.52m		# type: t, index=1, 3 Elow=0   LAMDA, 
70740	HCN                 1690.82m		# type: t, index=4, 5 Elow=2.95651   LAMDA, 
70745	HCN                 1690.78m		# type: t, index=2, 5 Elow=2.95639   LAMDA, 
70750	HCN                 1690.80m		# type: t, index=3, 5 Elow=2.95644   LAMDA, 
70755	HCN                 1127.22m		# type: t, index=5, 6 Elow=8.8692   LAMDA, 
70760	HCN                 845.428m		# type: t, index=6, 7 Elow=17.7382   LAMDA, 
70765	HCN                 676.373m		# type: t, index=7, 8 Elow=29.5633   LAMDA, 
70770	HCN                 563.665m		# type: t, index=8, 9 Elow=44.344   LAMDA, 
70775	HCN                 483.168m		# type: t, index=9, 10 Elow=62.0802   LAMDA, 
70780	HCN                 422.796m		# type: t, index=10, 11 Elow=82.7713   LAMDA, 
70785	HCN                 375.844m		# type: t, index=11, 12 Elow=106.4169   LAMDA, 
70790	HCN                 338.285m		# type: t, index=12, 13 Elow=133.0164   LAMDA, 
70795	HCN                 307.557m		# type: t, index=13, 14 Elow=162.5692   LAMDA, 
70800	HCN                 281.953m		# type: t, index=14, 15 Elow=195.0746   LAMDA, 
70805	HCN                 260.290m		# type: t, index=15, 16 Elow=230.5318   LAMDA, 
70810	HCN                 241.723m		# type: t, index=16, 17 Elow=268.94   LAMDA, 
70815	HCN                 225.634m		# type: t, index=17, 18 Elow=310.2983   LAMDA, 
70820	HCN                 211.558m		# type: t, index=18, 19 Elow=354.6057   LAMDA, 
70825	HCN                 199.139m		# type: t, index=19, 20 Elow=401.8612   LAMDA, 
70830	HCN                 188.102m		# type: t, index=20, 21 Elow=452.0636   LAMDA, 
70835	HCN                 178.228m		# type: t, index=21, 22 Elow=505.2117   LAMDA, 
70840	HCN                 169.342m		# type: t, index=22, 23 Elow=561.3044   LAMDA, 
70845	HCN                 161.305m		# type: t, index=23, 24 Elow=620.3402   LAMDA, 
70850	HCN                 153.999m		# type: t, index=24, 25 Elow=682.3178   LAMDA, 
70855	HCN                 147.329m		# type: t, index=25, 26 Elow=747.2357   LAMDA, 
70860	HCN                 141.217m		# type: t, index=26, 27 Elow=815.0925   LAMDA, 
70865	HCN                 135.594m		# type: t, index=27, 28 Elow=885.8864   LAMDA, 
70870	HCN                 130.405m		# type: t, index=28, 29 Elow=959.6158   LAMDA, 
70875	HCN                 125.602m		# type: t, index=29, 30 Elow=1036.279   LAMDA, 
70880	HCN                 121.142m		# type: t, index=30, 31 Elow=1115.874   LAMDA, 
70885	HCN                 116.991m		# type: t, index=31, 32 Elow=1198.4   LAMDA, 
